epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2842,2.67406,5.28614,1.90591,0.16855,0.52832,0.09356,0.05039,1.88217,12.9173,1.46503,0.00016,0.00016,0.08416
2,20.6084,1.49303,2.6493,1.30686,0.15506,0.36166,0.09303,0.05173,1.7621,3.3381,1.41612,0.000329919,0.000329919,0.0673299
3,28.5297,1.57269,2.44317,1.32802,0.22879,0.27887,0.25032,0.13761,1.69563,2.76028,1.28816,0.000499512,0.000499512,0.0504995
4,35.7698,1.39509,2.09164,1.23271,0.28394,0.50763,0.3026,0.16684,1.52711,2.83776,1.23844,0.000668528,0.000668528,0.0336685
5,43.2719,1.39804,1.90759,1.21139,0.33815,0.41618,0.329,0.18943,1.65648,2.36717,1.31256,0.000836721,0.000836721,0.0168367
6,50.2314,1.41744,1.79276,1.24922,0.30057,0.33805,0.27346,0.15998,1.62697,2.83689,1.18765,0.000993906,0.000993906,0.000993906
7,59.4959,1.40364,1.81849,1.23674,0.46708,0.4902,0.40891,0.21654,1.59505,3.20719,1.19532,0.000991232,0.000991232,0.000991232
8,66.5696,1.35998,1.61018,1.23981,0.66144,0.49068,0.51472,0.25079,1.6196,2.03568,1.21957,0.000988079,0.000988079,0.000988079
9,74.3115,1.30545,1.44691,1.20491,0.6041,0.49237,0.48881,0.25649,1.39718,2.11594,1.1813,0.000984449,0.000984449,0.000984449
10,81.6218,1.36916,1.50024,1.2247,0.76976,0.3976,0.58807,0.32178,1.53888,1.9062,1.24093,0.000980345,0.000980345,0.000980345
11,89.2083,1.2656,1.41847,1.18546,0.73365,0.53861,0.66967,0.38744,1.43907,1.60802,1.18183,0.000975773,0.000975773,0.000975773
12,97.4055,1.28754,1.40971,1.17625,0.84448,0.62119,0.71797,0.39203,1.5352,1.69446,1.18783,0.000970736,0.000970736,0.000970736
13,105.455,1.23665,1.29493,1.14079,0.6762,0.67695,0.70536,0.40744,1.53277,1.73781,1.18846,0.000965239,0.000965239,0.000965239
14,114.062,1.1889,1.22221,1.13922,0.85135,0.62309,0.75416,0.36038,1.8474,1.874,1.26913,0.000959289,0.000959289,0.000959289
15,121.692,1.23966,1.19393,1.12078,0.73279,0.66455,0.76378,0.39789,1.66719,1.68454,1.18321,0.000952889,0.000952889,0.000952889
16,128.976,1.20629,1.14303,1.13583,0.90944,0.60374,0.78687,0.45181,1.44679,1.52255,1.11274,0.000946048,0.000946048,0.000946048
17,137.091,1.19424,1.14266,1.1481,0.81459,0.74986,0.82506,0.43086,1.57163,1.33806,1.15212,0.000938772,0.000938772,0.000938772
